Provider,Model,Query Tests,Query Success,Query Success %,Avg Query Time (s),Debug Tests,Debug Fixed,Debug Fix %,Avg Trials
docker_model_runner,ai/granite-4.0-h-micro,20,14,70.00%,2.882,5,4,80.00%,1.00
docker_model_runner,ai/llama3.2:latest,20,8,40.00%,1.760,5,4,80.00%,1.00
docker_model_runner,ai/gemma4:100k,20,13,65.00%,2.627,5,5,100.00%,1.20
docker_model_runner,ai/qwen3._9b:128k,20,0,0.00%,0.002,0,0,N/A,N/A
docker_model_runner,ai/qwen3.6_27b:128k,20,0,0.00%,3.071,0,0,N/A,N/A
